ID,Age_ka,d18O,MgCa
"339-U1385D-15H-4,83-84",1279.6,3.08,
"339-U1385D-15H-4,84-85",1279.68,3.13,
"339-U1385D-15H-4,85-86",1279.76,3.12,
"339-U1385D-15H-4,86-87",1279.84,3.08,
"339-U1385D-15H-4,87-88",1279.91,3.21,
"339-U1385D-15H-4,88-89",1279.99,3.25,
"339-U1385D-15H-4,8-9",1273.78,3.04,
"339-U1385D-15H-4,89-90",1280.07,3.19,
"339-U1385D-15H-4,90-91",1280.15,2.91,
"339-U1385D-15H-4,90-91",1280.15,,1.341
"339-U1385D-15H-4,91-92",1280.22,3.16,
"339-U1385D-15H-4,92-93",1280.3,3.09,
"339-U1385D-15H-4,93-94",1280.38,3.22,
"339-U1385D-15H-4,94-95",1280.46,3.17,
"339-U1385D-15H-4,95-96",1280.53,2.49,
"339-U1385D-15H-4,96-97",1280.61,3.05,
"339-U1385D-15H-4,97-98",1280.69,2.86,
"339-U1385D-15H-4,98-99",1280.77,2.99,
"339-U1385D-15H-4,99-100",1280.84,3.08,
"339-U1385D-15H-5,0-1",1287.47,3.43,
"339-U1385D-15H-5,0-1",1287.47,,1.067
"339-U1385D-15H-5,100-101",1299.24,3.74,
"339-U1385D-15H-5,100-101",1299.24,,0.991
"339-U1385D-15H-5,10-11",1288.74,3.48,
"339-U1385D-15H-5,10-11",1288.74,,1.121
"339-U1385D-15H-5,101-102",1299.3,3.62,
"339-U1385D-15H-5,102-103",1299.37,3.82,
"339-U1385D-15H-5,103-104",1299.44,3.67,
"339-U1385D-15H-5,104-105",1299.5,3.78,
"339-U1385D-15H-5,105-106",1299.57,3.82,
"339-U1385D-15H-5,106-107",1299.63,3.55,
"339-U1385D-15H-5,107-108",1299.7,3.57,
"339-U1385D-15H-5,109-110",1299.83,3.56,
"339-U1385D-15H-5,109-112",1299.9,,1.097
"339-U1385D-15H-5,110-111",1299.9,3.71,
"339-U1385D-15H-5,111-112",1299.96,3.18,
"339-U1385D-15H-5,11-12",1288.86,3.78,
"339-U1385D-15H-5,112-113",1300.03,3.63,
"339-U1385D-15H-5,113-114",1300.1,3.7,
"339-U1385D-15H-5,114-115",1300.16,3.64,
"339-U1385D-15H-5,115-116",1300.23,3.35,
"339-U1385D-15H-5,116-117",1300.29,3.63,
